2019-05-11 21:20:09 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:20:34 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:21:44 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:22:31 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:24:47 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:25:33 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:25:56 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:26:23 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:29:06 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:29:54 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:30:15 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:31:54 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:37:53 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:38:07 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:40:13 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:40:31 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:41:47 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:43:10 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:44:39 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:45:21 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:45:31 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:46:11 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:46:18 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:47:16 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 21:47:26 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:23:05 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:24:45 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:25:46 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:33:06 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:33:56 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:34:11 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:41:36 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:42:35 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:44:02 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:44:22 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:46:15 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:49:09 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:50:32 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:51:46 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:52:46 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:53:10 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:53:21 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-12 06:55:24 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
